fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
0,train,001,1291.22925,-280.55853,
0,val,001,1313.51465,-234.08295,
0,train,002,1243.24259,-278.89319,
0,val,002,1292.39941,-228.35797,
0,train,003,1164.25106,-244.41692,
0,val,003,1295.93707,-213.05464,
0,train,004,1054.63224,-216.87247,
0,val,004,1220.71045,-201.16589,
0,train,005,906.51480,-190.73558,
0,val,005,1116.37109,-215.05731,
0,train,006,718.73765,-150.58113,
0,val,006,914.60016,-188.73654,
0,train,007,503.37673,-105.75649,
0,val,007,644.66586,-129.11710,
0,train,008,283.45071,-59.04251,
0,val,008,333.02077,-56.45754,
0,train,009,99.67951,-20.46382,
0,val,009,98.15227,-18.14281,
0,train,010,12.60658,-1.50612,
0,val,010,6.53200,-0.05706,best
0,train,011,26.10550,-4.63546,
0,val,011,8.46649,-0.39126,
0,train,012,17.30222,-2.60176,
0,val,012,7.58137,-0.27975,
0,train,013,6.13056,-0.22700,
0,val,013,20.37383,-2.93197,
0,train,014,7.37907,-0.53065,
0,val,014,8.10892,-0.55264,
0,train,015,4.45759,0.07369,
0,val,015,5.44293,0.04434,best
0,train,016,3.81035,0.22624,
0,val,016,7.95972,-0.28036,
0,train,017,3.72258,0.24167,
0,val,017,6.98379,-0.19922,
0,train,018,3.37803,0.30532,
0,val,018,5.62435,-0.04463,
0,train,019,2.67415,0.45528,
0,val,019,6.77384,-0.17237,
0,train,020,2.34228,0.52184,
0,val,020,6.15941,-0.04919,
0,train,021,2.08703,0.57108,
0,val,021,6.16004,0.00955,
0,train,022,2.04867,0.58051,
0,val,022,5.76237,-0.21831,
0,train,023,1.65153,0.65551,
0,val,023,6.16228,0.02023,
0,train,024,1.23312,0.73610,
0,val,024,5.80593,-0.01582,
0,train,025,1.23781,0.74319,
0,val,025,5.89284,-0.00606,
0,train,026,1.05281,0.78914,
0,val,026,5.55420,0.02758,
0,train,027,1.06801,0.77377,
0,val,027,6.15336,-0.04652,
0,train,028,0.86562,0.81329,
0,val,028,6.31490,-0.00268,
0,train,029,0.57450,0.88804,
0,val,029,6.39916,-0.01155,
0,train,030,0.52562,0.89025,
0,val,030,6.02042,-0.00453,
0,train,031,0.54003,0.88854,
0,val,031,5.58019,0.00638,
0,train,032,0.63893,0.85384,
0,val,032,5.87484,0.00765,
0,train,033,0.60268,0.87532,
0,val,033,6.47518,-0.03784,
0,train,034,0.48127,0.89628,
0,val,034,5.94575,-0.01632,
0,train,035,0.43679,0.91367,
0,val,035,6.22441,-0.07530,
0,train,036,0.49818,0.89076,
0,val,036,5.85114,-0.00583,
0,train,037,0.27077,0.94269,
0,val,037,6.20144,-0.03044,
0,train,038,0.22994,0.95478,
0,val,038,6.44001,-0.11749,
0,train,039,0.24440,0.94991,
0,val,039,5.66331,-0.05379,
0,train,040,0.35854,0.92560,
0,val,040,6.61692,-0.03513,
0,train,041,0.27712,0.94511,
0,val,041,6.12848,-0.09191,
0,train,042,0.25645,0.94719,
0,val,042,6.63289,-0.17054,
0,train,043,0.38711,0.91517,
0,val,043,6.10697,-0.15072,
0,train,044,0.28196,0.94098,
0,val,044,6.62366,-0.13033,
0,train,045,0.31312,0.93382,
0,val,045,6.16129,-0.02177,
0,train,046,0.40021,0.91658,
0,val,046,5.98236,-0.05768,
0,train,047,0.27984,0.93945,
0,val,047,6.20555,0.00402,
0,train,048,0.30068,0.94120,
0,val,048,5.72842,-0.01013,
0,train,049,0.37207,0.92390,
0,val,049,6.70076,-0.11073,
0,train,050,0.32920,0.93080,
0,val,050,6.00903,-0.01370,
1,train,001,1287.58018,-256.16760,
1,val,001,1298.15063,-283.14938,
1,train,002,1246.49554,-247.49353,
1,val,002,1296.24725,-300.97125,
1,train,003,1179.26636,-236.02788,
1,val,003,1281.62433,-247.36447,
1,train,004,1081.66437,-214.78503,
1,val,004,1224.96899,-238.62656,
1,train,005,945.77584,-192.45123,
1,val,005,1141.59412,-294.71527,
1,train,006,768.23223,-151.86705,
1,val,006,979.61450,-185.06972,
1,train,007,559.99879,-113.33675,
1,val,007,732.15204,-138.40558,
fold,mode,Epoch = 50,Loss,Acc,Note
0,train,001,1291.22925,-280.55853,
0,val,001,1313.51465,-234.08295,
0,train,002,1243.24259,-278.89319,
0,val,002,1292.39941,-228.35797,
0,train,003,1164.25106,-244.41692,
0,val,003,1295.93707,-213.05464,
0,train,004,1054.63224,-216.87247,
0,val,004,1220.71045,-201.16589,
0,train,005,906.51480,-190.73558,
0,val,005,1116.37109,-215.05731,
0,train,006,718.73765,-150.58113,
0,val,006,914.60016,-188.73654,
0,train,007,503.37673,-105.75649,
0,val,007,644.66586,-129.11710,
0,train,008,283.45071,-59.04251,
0,val,008,333.02077,-56.45754,
0,train,009,99.67951,-20.46382,
0,val,009,98.15227,-18.14281,
0,train,010,12.60658,-1.50612,
0,val,010,6.53200,-0.05706,best
0,train,011,26.10550,-4.63546,
0,val,011,8.46649,-0.39126,
0,train,012,17.30222,-2.60176,
0,val,012,7.58137,-0.27975,
0,train,013,6.13056,-0.22700,
0,val,013,20.37383,-2.93197,
0,train,014,7.37907,-0.53065,
0,val,014,8.10892,-0.55264,
0,train,015,4.45759,0.07369,
0,val,015,5.44293,0.04434,best
0,train,016,3.81035,0.22624,
0,val,016,7.95972,-0.28036,
0,train,017,3.72258,0.24167,
0,val,017,6.98379,-0.19922,
0,train,018,3.37803,0.30532,
0,val,018,5.62435,-0.04463,
0,train,019,2.67415,0.45528,
0,val,019,6.77384,-0.17237,
0,train,020,2.34228,0.52184,
0,val,020,6.15941,-0.04919,
0,train,021,2.08703,0.57108,
0,val,021,6.16004,0.00955,
0,train,022,2.04867,0.58051,
0,val,022,5.76237,-0.21831,
0,train,023,1.65153,0.65551,
0,val,023,6.16228,0.02023,
0,train,024,1.23312,0.73610,
0,val,024,5.80593,-0.01582,
0,train,025,1.23781,0.74319,
0,val,025,5.89284,-0.00606,
0,train,026,1.05281,0.78914,
0,val,026,5.55420,0.02758,
0,train,027,1.06801,0.77377,
0,val,027,6.15336,-0.04652,
0,train,028,0.86562,0.81329,
0,val,028,6.31490,-0.00268,
0,train,029,0.57450,0.88804,
0,val,029,6.39916,-0.01155,
0,train,030,0.52562,0.89025,
0,val,030,6.02042,-0.00453,
0,train,031,0.54003,0.88854,
0,val,031,5.58019,0.00638,
0,train,032,0.63893,0.85384,
0,val,032,5.87484,0.00765,
0,train,033,0.60268,0.87532,
0,val,033,6.47518,-0.03784,
0,train,034,0.48127,0.89628,
0,val,034,5.94575,-0.01632,
0,train,035,0.43679,0.91367,
0,val,035,6.22441,-0.07530,
0,train,036,0.49818,0.89076,
0,val,036,5.85114,-0.00583,
0,train,037,0.27077,0.94269,
0,val,037,6.20144,-0.03044,
0,train,038,0.22994,0.95478,
0,val,038,6.44001,-0.11749,
0,train,039,0.24440,0.94991,
0,val,039,5.66331,-0.05379,
0,train,040,0.35854,0.92560,
0,val,040,6.61692,-0.03513,
0,train,041,0.27712,0.94511,
0,val,041,6.12848,-0.09191,
0,train,042,0.25645,0.94719,
0,val,042,6.63289,-0.17054,
0,train,043,0.38711,0.91517,
0,val,043,6.10697,-0.15072,
0,train,044,0.28196,0.94098,
0,val,044,6.62366,-0.13033,
0,train,045,0.31312,0.93382,
0,val,045,6.16129,-0.02177,
0,train,046,0.40021,0.91658,
0,val,046,5.98236,-0.05768,
0,train,047,0.27984,0.93945,
0,val,047,6.20555,0.00402,
0,train,048,0.30068,0.94120,
0,val,048,5.72842,-0.01013,
0,train,049,0.37207,0.92390,
0,val,049,6.70076,-0.11073,
0,train,050,0.32920,0.93080,
0,val,050,6.00903,-0.01370,
1,train,001,1287.58018,-256.16760,
1,val,001,1298.15063,-283.14938,
1,train,002,1246.49554,-247.49353,
1,val,002,1296.24725,-300.97125,
1,train,003,1179.26636,-236.02788,
1,val,003,1281.62433,-247.36447,
1,train,004,1081.66437,-214.78503,
1,val,004,1224.96899,-238.62656,
1,train,005,945.77584,-192.45123,
1,val,005,1141.59412,-294.71527,
1,train,006,768.23223,-151.86705,
1,val,006,979.61450,-185.06972,
1,train,007,559.99879,-113.33675,
1,val,007,732.15204,-138.40558,
1,train,008,339.31356,-67.21848,
1,val,008,426.38777,-144.26620,
1,train,009,141.90615,-27.56744,
1,val,009,153.50053,-28.52322,
1,train,010,23.73610,-3.94322,
1,val,010,12.61402,-1.42447,best
1,train,011,19.59797,-3.00829,
1,val,011,7.04882,-0.34726,best
1,train,012,20.39703,-3.00069,
1,val,012,5.63006,-0.20048,best
1,train,013,5.80958,-0.16602,
1,val,013,18.89749,-2.60896,
1,train,014,7.47509,-0.60822,
1,val,014,10.54913,-1.01892,
1,train,015,4.43517,0.10801,
1,val,015,6.49482,-0.28580,
1,train,016,4.28442,0.14962,
1,val,016,6.55053,-0.30878,
1,train,017,3.44252,0.32435,
1,val,017,6.50551,-0.34292,
1,train,018,2.96678,0.41317,
1,val,018,8.08873,-0.42870,
1,train,019,2.82862,0.44088,
1,val,019,7.65261,-0.60346,
1,train,020,2.36636,0.53935,
1,val,020,6.28586,-0.25855,
1,train,021,2.26554,0.55477,
1,val,021,6.24008,-0.28253,
1,train,022,1.76770,0.64812,
1,val,022,5.94615,-0.27602,
1,train,023,1.31544,0.73476,
1,val,023,6.78436,-0.31831,
1,train,024,1.55951,0.69269,
1,val,024,6.91219,-0.33157,
1,train,025,1.32276,0.74554,
1,val,025,8.72464,-0.48766,
1,train,026,0.90950,0.81846,
1,val,026,7.28280,-0.38050,
1,train,027,0.73894,0.84699,
1,val,027,6.78248,-0.35600,
1,train,028,0.68412,0.87274,
1,val,028,6.52672,-0.29412,
1,train,029,0.63556,0.87742,
1,val,029,9.00772,-0.59106,
1,train,030,0.50104,0.89928,
1,val,030,6.86907,-0.31321,
1,train,031,0.50080,0.89839,
1,val,031,6.90080,-0.34075,
1,train,032,0.54682,0.89676,
1,val,032,8.11003,-0.55431,
1,train,033,0.55139,0.89025,
1,val,033,6.43341,-0.31111,
1,train,034,0.39663,0.92185,
1,val,034,7.87936,-0.51311,
1,train,035,0.29860,0.93788,
1,val,035,6.26368,-0.25542,
1,train,036,0.27732,0.94229,
1,val,036,8.84141,-0.52223,
1,train,037,0.61600,0.88078,
1,val,037,6.44085,-0.29200,
1,train,038,0.42219,0.91659,
1,val,038,6.57569,-0.28219,
1,train,039,0.28924,0.94230,
1,val,039,6.96606,-0.33353,
1,train,040,0.22112,0.94808,
1,val,040,8.61674,-0.44272,
1,train,041,0.29637,0.94198,
1,val,041,6.85334,-0.33307,
1,train,042,0.21369,0.95559,
1,val,042,6.76867,-0.47110,
1,train,043,0.16949,0.96705,
1,val,043,6.60329,-0.32410,
1,train,044,0.27619,0.94633,
1,val,044,8.33451,-0.56489,
1,train,045,0.20750,0.95717,
1,val,045,6.58903,-0.33909,
1,train,046,0.25873,0.95013,
1,val,046,6.84646,-0.34171,
1,train,047,0.30249,0.94032,
1,val,047,8.71885,-0.64984,
1,train,048,0.28596,0.94388,
1,val,048,8.37336,-0.61582,
1,train,049,0.22923,0.95567,
1,val,049,7.82208,-0.62132,
1,train,050,0.25304,0.95010,
1,val,050,8.68666,-0.53950,
2,train,001,1294.98281,-256.90228,
2,val,001,1309.41962,-272.67746,
2,train,002,1247.10661,-243.86789,
2,val,002,1301.84943,-269.63989,
2,train,003,1167.99093,-230.81833,
2,val,003,1286.06989,-262.27219,
2,train,004,1058.95532,-223.23087,
2,val,004,1232.82202,-258.40891,
2,train,005,913.54592,-177.12097,
2,val,005,1103.42493,-237.60635,
2,train,006,731.38426,-142.31186,
2,val,006,933.18558,-238.24118,
