fold,mode,Epoch = 50,Loss,Acc,Note
0,val,018,6.62166,0.03090,
0,train,019,1.35856,0.72150,
0,val,019,6.52720,0.04470,
0,train,020,1.30899,0.71963,
0,val,020,6.51297,0.04679,
0,train,021,1.17856,0.75283,
0,val,021,6.47344,0.05257,
0,train,022,1.19375,0.75683,
0,val,022,6.61568,0.03179,
0,train,023,0.82727,0.81927,
0,val,023,6.47138,0.05288,
0,train,024,0.69600,0.85970,
0,val,024,6.90935,-0.01123,
0,train,025,0.56917,0.88038,
0,val,025,6.82279,0.00144,
0,train,026,0.50127,0.89442,
0,val,026,7.18601,-0.05172,
0,train,027,0.69887,0.85578,
0,val,027,6.91902,-0.01263,
0,train,028,0.69859,0.84417,
0,val,028,7.07783,-0.03586,
0,train,029,0.32285,0.93375,
0,val,029,6.57351,0.03792,
0,train,030,0.43130,0.91814,
0,val,030,6.70808,0.01824,
0,train,031,0.46725,0.90310,
0,val,031,6.59559,0.03469,
0,train,032,0.37878,0.92450,
0,val,032,6.49575,0.04930,
0,train,033,0.18736,0.96004,
0,val,033,6.55108,0.04120,
0,train,034,0.33528,0.93289,
0,val,034,6.49789,0.04900,
0,train,035,0.33615,0.92724,
0,val,035,6.71089,0.01781,
0,train,036,0.29887,0.93532,
0,val,036,7.04169,-0.03060,
0,train,037,0.47691,0.88977,
0,val,037,6.92544,-0.01357,
0,train,038,0.31292,0.93141,
0,val,038,7.84569,-0.14827,
0,train,039,0.42283,0.91594,
0,val,039,7.17665,-0.05034,
0,train,040,0.37795,0.91986,
0,val,040,7.04834,-0.03157,
0,train,041,0.27858,0.94248,
0,val,041,6.90709,-0.01086,
0,train,042,0.34818,0.92451,
0,val,042,6.64087,0.02806,
fold,mode,Epoch = 50,Loss,Acc,Note
0,train,001,1293.27229,-266.21753,
0,val,001,1328.00183,-193.36221,
0,train,002,1217.02098,-258.60251,
0,val,002,1312.34619,-191.07092,
0,train,003,1107.01538,-225.68254,
0,val,003,1272.01001,-185.16518,
0,train,004,981.67003,-206.81639,
0,val,004,1189.62622,-173.11000,
0,train,005,847.80757,-178.07939,
0,val,005,1050.80554,-152.79263,
0,train,006,707.82010,-150.71849,
0,val,006,866.51990,-125.81963,
0,train,007,560.95035,-118.64100,
0,val,007,666.07666,-96.48373,
0,train,008,418.37933,-92.36927,
0,val,008,475.48676,-68.59077,
0,train,009,281.57827,-58.30564,
0,val,009,306.03918,-43.79040,
0,train,010,164.41469,-34.40185,
0,val,010,163.54555,-22.93602,
0,train,011,72.91415,-13.97496,
0,val,011,61.83720,-8.05030,best
0,train,012,18.76020,-2.71738,
0,val,012,12.54769,-0.83642,best
0,train,013,6.55416,-0.35116,
0,val,013,6.59297,0.03509,best
0,train,014,8.74487,-0.83345,
0,val,014,6.60462,0.03337,
0,train,015,5.30639,-0.12345,
0,val,015,9.33336,-0.36597,
0,train,016,4.69467,0.04439,
0,val,016,8.90290,-0.30299,
0,train,017,4.28105,0.13522,
0,val,017,6.69576,0.02004,
0,train,018,3.98959,0.14966,
0,val,018,6.70413,0.01883,
0,train,019,3.43056,0.28376,
0,val,019,6.94706,-0.01675,
0,train,020,3.25454,0.31272,
0,val,020,6.92869,-0.01405,
0,train,021,3.00695,0.37847,
0,val,021,6.61259,0.03220,
0,train,022,2.87544,0.40868,
0,val,022,6.68927,0.02101,
0,train,023,2.46951,0.46582,
0,val,023,6.67163,0.02357,
0,train,024,2.45900,0.49407,
0,val,024,6.59757,0.03440,
0,train,025,1.96665,0.59498,
0,val,025,6.52074,0.04564,best
0,train,026,1.86073,0.61464,
0,val,026,6.55303,0.04092,
0,train,027,2.03049,0.57598,
0,val,027,6.54594,0.04197,
0,train,028,1.89168,0.60746,
0,val,028,6.66432,0.02465,
0,train,029,1.48733,0.69037,
0,val,029,6.81502,0.00258,
0,train,030,1.74479,0.65911,
0,val,030,6.69753,0.01978,
0,train,031,1.37769,0.71146,
0,val,031,6.59705,0.03448,
0,train,032,1.24872,0.74975,
0,val,032,6.67588,0.02294,
0,train,033,0.87353,0.81898,
0,val,033,6.60541,0.03325,
0,train,034,0.99477,0.79758,
0,val,034,6.54831,0.04162,
0,train,035,0.89683,0.81050,
0,val,035,6.53986,0.04285,
0,train,036,0.69021,0.85209,
0,val,036,6.48380,0.05105,best
0,train,037,0.87971,0.80626,
0,val,037,6.46946,0.05316,best
0,train,038,0.62669,0.86282,
0,val,038,6.62122,0.03094,
0,train,039,0.66111,0.86748,
0,val,039,6.53775,0.04317,
0,train,040,0.54832,0.88563,
0,val,040,6.52238,0.04540,
0,train,041,0.42984,0.91349,
0,val,041,6.45150,0.05581,best
0,train,042,0.57651,0.87718,
0,val,042,6.51628,0.04630,
0,train,043,0.44782,0.90985,
0,val,043,6.49652,0.04920,
0,train,044,0.26814,0.94289,
0,val,044,6.52744,0.04466,
0,train,045,0.25911,0.94763,
0,val,045,6.64672,0.02722,
0,train,046,0.34023,0.93749,
0,val,046,6.51478,0.04653,
0,train,047,0.44998,0.91118,
0,val,047,6.51383,0.04668,
0,train,048,0.16180,0.96409,
0,val,048,6.36726,0.06812,best
0,train,049,0.28775,0.93945,
0,val,049,6.47627,0.05215,
0,train,050,0.48771,0.90840,
0,val,050,6.47660,0.05210,
