fold,mode,Epoch = 8,Loss,Acc,Note
fold,mode,Epoch = 8,Loss,Acc,Note
fold,mode,Epoch = 8,Loss,Acc,Note
fold,mode,Epoch = 8,Loss,Acc,Note
fold,mode,Epoch = 8,Loss,Acc,Note
0,train,001,3.13610,0.16957,
0,val,001,2.24209,0.19325,best
0,train,002,2.21845,0.20871,
0,val,002,2.19341,0.23272,best
0,train,003,2.17696,0.22658,
0,val,003,2.16822,0.22623,
0,train,004,2.14219,0.23943,
0,val,004,2.17998,0.21205,
0,train,005,2.13027,0.23790,
0,val,005,2.12289,0.25045,best
fold,mode,Epoch = 30,Loss,Acc,Note
0,train,001,3.13610,0.16957,
0,val,001,2.24209,0.19325,best
0,train,002,2.21845,0.20871,
0,val,002,2.19341,0.23272,best
0,train,003,2.17696,0.22658,
0,val,003,2.16822,0.22623,
0,train,004,2.14219,0.23943,
0,val,004,2.17998,0.21205,
0,train,005,2.13027,0.23790,
0,val,005,2.12289,0.25045,best
0,train,006,2.06110,0.26974,
0,val,006,2.08864,0.26381,best
0,train,007,2.03241,0.28683,
0,val,007,2.19130,0.22718,
0,train,008,1.98857,0.29597,
0,val,008,2.19633,0.22656,
0,train,009,1.95929,0.31100,
0,val,009,1.89373,0.33061,best
0,train,010,1.92683,0.32376,
0,val,010,1.93602,0.33842,best
0,train,011,1.87697,0.34129,
0,val,011,1.81483,0.36322,best
0,train,012,1.85130,0.34874,
0,val,012,1.84650,0.34234,
0,train,013,1.83601,0.35180,
0,val,013,1.88692,0.34478,
0,train,014,1.78359,0.36480,
0,val,014,1.89600,0.36256,
0,train,015,1.75075,0.38011,
0,val,015,1.76805,0.39422,best
0,train,016,1.70555,0.40216,
0,val,016,1.76480,0.38860,
0,train,017,1.67821,0.41317,
0,val,017,1.68631,0.40274,best
0,train,018,1.62993,0.42687,
0,val,018,1.97196,0.34846,
0,train,019,1.61728,0.43585,
0,val,019,1.59804,0.42799,best
0,train,020,1.56549,0.45200,
0,val,020,1.65719,0.43027,best
0,train,021,1.53781,0.46111,
0,val,021,1.56768,0.45618,best
0,train,022,1.50617,0.47255,
0,val,022,1.72012,0.42870,
0,train,023,1.48069,0.48235,
0,val,023,1.50493,0.46879,best
0,train,024,1.44272,0.49520,
0,val,024,1.64893,0.44585,
0,train,025,1.41168,0.50546,
0,val,025,1.43446,0.50670,best
0,train,026,1.39290,0.50951,
0,val,026,1.50749,0.48669,
0,train,027,1.37219,0.51768,
0,val,027,1.38050,0.51703,best
0,train,028,1.35686,0.52071,
0,val,028,1.60651,0.44449,
0,train,029,1.33306,0.53534,
0,val,029,1.30296,0.54415,best
0,train,030,1.30556,0.54426,
0,val,030,1.70104,0.43738,
1,train,001,1.29693,0.54751,
1,val,001,1.97931,0.38142,best
1,train,002,1.25728,0.56077,
1,val,002,1.69405,0.46425,best
1,train,003,1.23951,0.56627,
1,val,003,1.36583,0.52043,best
1,train,004,1.20261,0.58033,
1,val,004,1.31622,0.54778,best
1,train,005,1.18156,0.59135,
1,val,005,1.47846,0.48664,
1,train,006,1.13879,0.60118,
1,val,006,1.61624,0.46519,
1,train,007,1.12830,0.60961,
1,val,007,1.47421,0.49055,
1,train,008,1.10118,0.61737,
1,val,008,1.26599,0.57436,best
1,train,009,1.07849,0.62699,
1,val,009,1.53682,0.50951,
1,train,010,1.03928,0.64025,
1,val,010,1.27922,0.55812,
1,train,011,1.03286,0.64525,
1,val,011,1.17450,0.60679,best
1,train,012,1.00599,0.65432,
1,val,012,1.57669,0.52478,
1,train,013,0.99122,0.66095,
1,val,013,1.22907,0.59812,
1,train,014,0.95541,0.66798,
1,val,014,1.72059,0.49817,
fold,mode,Epoch = 30,Loss,Acc,Note
fold,mode,Epoch = 30,Loss,Acc,Note
0,train,001,2.14722,0.23182,
0,val,001,2.05848,0.27211,best
0,train,002,1.96536,0.29959,
0,val,002,1.86663,0.33966,best
0,train,003,1.88599,0.33299,
0,val,003,1.89508,0.34305,best
0,train,004,1.77180,0.38058,
0,val,004,1.76333,0.38843,best
0,train,005,1.68881,0.40831,
0,val,005,1.68941,0.41431,best
0,train,006,1.60439,0.43410,
0,val,006,1.74947,0.41939,best
0,train,007,1.56028,0.45157,
0,val,007,1.97591,0.38409,
0,train,008,1.47904,0.48366,
0,val,008,1.41249,0.50364,best
0,train,009,1.42631,0.49785,
0,val,009,1.49713,0.47144,
0,train,010,1.37948,0.51569,
0,val,010,1.51453,0.46941,
0,train,011,1.33007,0.53234,
0,val,011,1.40989,0.50492,best
0,train,012,1.27573,0.54818,
0,val,012,1.26396,0.57263,best
0,train,013,1.25024,0.56899,
0,val,013,1.54099,0.48243,
0,train,014,1.20921,0.57485,
0,val,014,1.19342,0.57478,best
0,train,015,1.14038,0.60566,
0,val,015,1.37076,0.54179,
0,train,016,1.12575,0.60785,
0,val,016,1.35676,0.55394,
0,train,017,1.09144,0.62241,
0,val,017,1.18673,0.60884,best
0,train,018,1.05218,0.63220,
0,val,018,1.21512,0.60032,
0,train,019,1.03102,0.64237,
0,val,019,1.10597,0.62980,best
0,train,020,1.00026,0.65273,
0,val,020,1.30138,0.57577,
0,train,021,0.95869,0.66944,
0,val,021,1.15954,0.62653,
0,train,022,0.93078,0.67805,
0,val,022,1.01293,0.67063,best
0,train,023,0.90456,0.68663,
0,val,023,1.21347,0.58387,
0,train,024,0.87804,0.70125,
0,val,024,1.72358,0.49748,
0,train,025,0.84753,0.70674,
0,val,025,1.23187,0.61086,
0,train,026,0.83065,0.71242,
0,val,026,1.10377,0.64550,
0,train,027,0.82204,0.71828,
0,val,027,1.14071,0.64827,
0,train,028,0.79126,0.72776,
0,val,028,0.92416,0.69668,best
0,train,029,0.75616,0.73572,
0,val,029,1.20464,0.62227,
