fold,mode,Epoch = 50,Loss,Acc,Note
0,train,001,1291.52075,-272.57861,
0,val,001,1332.31482,-241.56889,
0,train,002,1241.53231,-260.95615,
0,val,002,1298.18164,-215.59689,
0,train,003,1161.92383,-247.90941,
0,val,003,1288.11981,-215.13303,
0,train,004,1052.00858,-213.17441,
0,val,004,1231.46350,-201.24815,
0,train,005,902.49929,-187.04608,
0,val,005,1115.03436,-199.44098,
0,train,006,713.20995,-146.85791,
0,val,006,915.38034,-149.30916,
0,train,007,495.09658,-108.69810,
0,val,007,645.02319,-128.21678,
0,train,008,274.46010,-56.68011,
0,val,008,371.78143,-64.49837,
0,train,009,94.35141,-19.37605,
0,val,009,127.03784,-19.57857,
0,train,010,14.76156,-2.12622,
0,val,010,13.78737,-1.40204,best
0,train,011,25.85558,-4.44089,
0,val,011,7.13542,-0.12719,best
0,train,012,14.18951,-2.07400,
0,val,012,18.65318,-2.16705,
0,train,013,7.21414,-0.59263,
0,val,013,28.19701,-4.55648,
0,train,014,6.95410,-0.44021,
0,val,014,9.26836,-0.61349,
0,train,015,5.81420,-0.17923,
0,val,015,6.50572,-0.06291,best
0,train,016,5.07753,-0.04981,
0,val,016,8.31171,-0.43697,
0,train,017,5.75512,-0.17495,
0,val,017,8.55783,-0.36020,
0,train,018,5.20176,-0.05317,
0,val,018,5.72434,-0.11284,
0,train,019,5.32166,-0.09922,
0,val,019,6.26090,-0.10234,
0,train,020,5.07790,-0.03595,
0,val,020,6.30623,-0.19826,
0,train,021,5.01971,-0.04642,
0,val,021,6.18997,-0.04584,best
0,train,022,4.93301,-0.01368,
0,val,022,6.23528,-0.05619,
0,train,023,4.70875,0.03030,
0,val,023,5.87138,-0.12847,
0,train,024,4.84501,0.00052,
0,val,024,5.95246,-0.03091,best
0,train,025,4.95362,-0.02600,
0,val,025,5.87014,-0.02789,best
0,train,026,4.77432,0.02829,
0,val,026,5.63978,-0.00659,best
0,train,027,4.99289,-0.03951,
0,val,027,6.38286,-0.08036,
0,train,028,4.91367,-0.00619,
0,val,028,5.71542,0.00304,best
0,train,029,4.94105,-0.01781,
0,val,029,5.80640,-0.00873,
0,train,030,4.94153,-0.00994,
0,val,030,6.38698,-0.07782,
0,train,031,4.91296,-0.01165,
0,val,031,6.89370,-0.07898,
0,train,032,4.85808,0.00465,
0,val,032,6.30429,-0.20607,
0,train,033,4.62426,0.04746,
0,val,033,5.81041,-0.00256,
0,train,034,4.82318,0.01455,
0,val,034,5.32308,0.01855,best
0,train,035,4.65962,0.05710,
0,val,035,5.75960,-0.05294,
0,train,036,4.90037,-0.01546,
0,val,036,6.81977,-0.07762,
0,train,037,4.82566,-0.00652,
0,val,037,6.23234,-0.12293,
0,train,038,5.00868,-0.06044,
0,val,038,6.33205,-0.07657,
0,train,039,4.79063,0.02357,
0,val,039,7.43433,-0.11555,
0,train,040,4.66292,0.04384,
0,val,040,6.25417,-0.03789,
0,train,041,4.60014,0.06330,
0,val,041,6.15337,-0.03188,
0,train,042,4.38953,0.10144,
0,val,042,6.64416,-0.10760,
0,train,043,4.74274,0.02640,
0,val,043,6.00447,-0.19977,
0,train,044,4.50534,0.09320,
0,val,044,6.59665,-0.02968,
0,train,045,4.51001,0.08331,
0,val,045,5.73423,-0.01253,
0,train,046,4.75551,0.02626,
0,val,046,5.64334,0.01729,
0,train,047,4.54533,0.07956,
0,val,047,6.32640,-0.10117,
0,train,048,4.36779,0.09877,
0,val,048,6.20833,-0.15312,
0,train,049,4.55387,0.07286,
0,val,049,6.54675,-0.03442,
0,train,050,4.43039,0.09356,
0,val,050,6.08784,-0.06148,
1,train,001,1297.14433,-257.19525,
fold,mode,Epoch = 50,Loss,Acc,Note
0,train,001,445.31648,-95.88079,
