fold,mode,Epoch = 50,Loss,Acc,Note
fold,mode,Epoch = 50,Loss,Acc,Note
0,train,001,1292.54558,-271.80576,
0,val,001,1329.82141,-193.62854,
0,train,002,1195.59133,-259.20892,
0,val,002,1308.82349,-190.55534,
0,train,003,1052.00242,-216.35213,
0,val,003,1254.35083,-182.57620,
0,train,004,892.23868,-188.70670,
0,val,004,1151.76257,-167.56020,
0,train,005,732.45896,-150.59065,
0,val,005,994.33044,-144.52534,
0,train,006,583.06033,-123.82258,
0,val,006,778.63879,-112.95915,
0,train,007,441.50224,-91.95983,
0,val,007,567.13190,-82.00266,
0,train,008,311.47219,-64.53294,
0,val,008,395.55975,-56.89008,
0,train,009,200.61913,-40.08326,
0,val,009,247.18420,-35.17667,
0,train,010,110.91038,-21.83716,
0,val,010,129.53932,-17.95897,
0,train,011,47.52513,-9.50055,
0,val,011,50.43193,-6.38106,best
0,train,012,12.60699,-1.70408,
0,val,012,12.95392,-0.89583,best
0,train,013,5.88532,-0.25053,
0,val,013,6.37354,0.06720,best
0,train,014,7.26470,-0.52325,
0,val,014,6.23255,0.08785,best
0,train,015,5.05150,-0.06655,
0,val,015,7.80723,-0.14260,
0,train,016,3.88065,0.19191,
0,val,016,8.90968,-0.30396,
0,train,017,4.18810,0.13383,
0,val,017,7.95290,-0.16395,
0,train,018,3.81413,0.24878,
0,val,018,6.73021,0.01500,
0,train,019,3.47915,0.26516,
0,val,019,6.51108,0.04707,
0,train,020,3.19970,0.35272,
0,val,020,6.58348,0.03647,
0,train,021,2.66969,0.45024,
0,val,021,6.65453,0.02606,
0,train,022,2.44893,0.47914,
0,val,022,6.74449,0.01292,
0,train,023,2.33897,0.51518,
0,val,023,6.53404,0.04371,
0,train,024,2.13019,0.55070,
0,val,024,6.52105,0.04561,
0,train,025,2.03629,0.58511,
0,val,025,6.68907,0.02102,
0,train,026,1.70732,0.63629,
0,val,026,6.78187,0.00743,
0,train,027,1.39970,0.70703,
0,val,027,6.37925,0.06635,
0,train,028,1.36037,0.71147,
0,val,028,6.32411,0.07442,
0,train,029,1.26001,0.73994,
0,val,029,6.28592,0.08001,
0,train,030,1.05100,0.78114,
0,val,030,6.27870,0.08109,
0,train,031,1.18523,0.76106,
0,val,031,6.35214,0.07033,
0,train,032,1.14777,0.76691,
0,val,032,6.24823,0.08554,
0,train,033,0.75159,0.84234,
0,val,033,6.07744,0.11055,best
0,train,034,0.63217,0.87274,
0,val,034,6.05099,0.11440,best
0,train,035,0.70610,0.84499,
0,val,035,6.17990,0.09555,
0,train,036,0.96628,0.80792,
0,val,036,6.30785,0.07681,
0,train,037,0.45953,0.90561,
0,val,037,6.33669,0.07258,
0,train,038,0.75950,0.83409,
0,val,038,6.25761,0.08416,
0,train,039,0.49786,0.89383,
0,val,039,6.70241,0.01908,
0,train,040,0.62730,0.88067,
0,val,040,6.63515,0.02890,
0,train,041,0.38540,0.92201,
0,val,041,6.57333,0.03797,
0,train,042,0.51039,0.89220,
0,val,042,6.53034,0.04426,
0,train,043,0.56750,0.88246,
0,val,043,6.11510,0.10501,
0,train,044,0.35758,0.92377,
0,val,044,6.25308,0.08482,
0,train,045,0.27877,0.93795,
0,val,045,6.13290,0.10242,
0,train,046,0.58230,0.87125,
0,val,046,6.23023,0.08816,
0,train,047,0.38589,0.92391,
0,val,047,5.88605,0.13855,best
0,train,048,0.33218,0.93448,
0,val,048,6.07460,0.11094,
0,train,049,0.31388,0.93758,
0,val,049,6.13003,0.10284,
0,train,050,0.28578,0.94026,
0,val,050,6.28786,0.07974,
1,train,001,1308.70023,-262.68024,
1,val,001,1304.75208,-256.97870,
1,train,002,1208.06721,-240.87747,
1,val,002,1285.15698,-253.11682,
1,train,003,1067.90215,-211.18268,
1,val,003,1234.61194,-243.12648,
